run,rsa_time_s,rsa_status,rsa_cpu_pct,rsa_mem_gb,pqc_time_s,pqc_status,pqc_cpu_pct,pqc_mem_gb
1,24,COMPROMETIDA,396.54,1.12,23,RESISTENTE,390.6,1.68
2,23,COMPROMETIDA,380.61,0.76,22,RESISTENTE,414.82,1.41
3,23,COMPROMETIDA,400.86,1.14,24,RESISTENTE,412.41,1.42
4,24,COMPROMETIDA,401.61,1.32,23,RESISTENTE,403.38,1.47
5,23,COMPROMETIDA,402.8,1.34,24,RESISTENTE,393.57,1.7
6,23,COMPROMETIDA,390.11,0.65,23,RESISTENTE,390.82,1.6
7,23,COMPROMETIDA,409.2,0.96,12,RESISTENTE,412.55,1.55
8,24,COMPROMETIDA,378.58,0.86,23,RESISTENTE,387.59,1.69
9,24,COMPROMETIDA,403.14,0.94,23,RESISTENTE,412.59,1.64
10,25,COMPROMETIDA,399.11,1.23,26,RESISTENTE,393.29,1.7
11,26,COMPROMETIDA,410.14,0.98,24,RESISTENTE,411.31,1.67
12,24,COMPROMETIDA,399.4,1.28,23,RESISTENTE,391.97,1.68
13,23,COMPROMETIDA,392.84,1.34,24,RESISTENTE,389.24,1.75
14,24,COMPROMETIDA,399.07,1.45,23,RESISTENTE,390.68,1.56
15,23,COMPROMETIDA,396.66,1.12,23,RESISTENTE,397.71,1.7
16,24,COMPROMETIDA,393.54,1.34,23,RESISTENTE,392.27,1.61
17,26,COMPROMETIDA,398.74,1.54,25,RESISTENTE,393.91,1.4
18,25,COMPROMETIDA,411.44,1.45,24,RESISTENTE,392.71,1.75
19,24,COMPROMETIDA,416.35,1.18,24,RESISTENTE,396.01,1.7
20,23,COMPROMETIDA,411.26,1.22,24,RESISTENTE,388.44,1.68
21,24,COMPROMETIDA,394.35,1.36,24,RESISTENTE,387.51,1.58
22,24,COMPROMETIDA,396.54,1.41,24,RESISTENTE,396.65,1.56
23,23,COMPROMETIDA,400.09,1.19,23,RESISTENTE,388.84,1.82
24,23,COMPROMETIDA,397.24,1.63,23,RESISTENTE,398.56,1.58
